Survey,id,Municipality,Code_ine,Province,CCAA,Reindustrialization,Renaturalization,Preservation,WeightAsPontes,WeightSpain,filter_$,NearestPowerPlantName,PowerPlantCluster,Dist_to_nearest_plant
1,829,Antas de Ulla,27003,Lugo,1,7,7,7,.331980789917225,.331250630969504,0,Power plant Meirama,Coruna,60.1481631789046
1,828,Añora,14006,Córdoba,15,10,10,10,.288135541356472,.28750181570105,0,Power plant Puente Nuevo,Córdoba,24.4447157446198
1,827,Arcos de Jalón,42025,Soria,9,4,6,4,.325479258324308,.324763398852974,0,Power plant de Escucha,Teruel,128.550117804922
1,826,Mundaka,48068,Vizcaya,4,6,8,6,.288630219289262,.287995405638601,0,Power plant Velilla,Palencia,186.710324770479
1,825,Mendaro,20901,Guipúzcoa,4,5,8,8,.301935334274582,.301271257338056,0,Power plant Velilla,Palencia,207.643289140747
1,823,Ribadesella,33056,Asturias,2,10,10,10,.694790496982406,.693262373929594,0,Power plant Aboño,Asturias,52.5123140276613
1,822,Almagro,13013,Ciudad Real,10,5,9,7,.749434257506473,.747785950901192,0,Power plant de Puertollano,Ciudad Real,44.0887974939354
1,821,Guitiriz,27022,Lugo,1,8,5,8,.694790496982406,.693262373929594,0, Power plant As Pontes,Coruna,26.1043776731342
1,820,Abegondo,15001,Coruna,1, , , ,.694790496982406,.693262373929594,1,Power plant Meirama,Coruna,10.4792443618275
1,819,Garachico,43064,Tarragona,19,0,8,10,.749434257506473,.747785950901192,0,Power plant Escatrón,Teruel,67.696694471759
1,817,Oroso,15060,Coruna,1,5,8,2,.749434257506473,.747785950901192,1,Power plant Meirama,Coruna,18.9612428841162
1,816,Morata de Tajuña,28091,Madrid,8, ,10,3,.676045072913876,.674558178569255,0,Power plant de Puertollano,Ciudad Real,185
1,815,Loeches,28075,Madrid,8,7,5,7,.74394357293993,.742307342552874,0,Power plant de Puertollano,Ciudad Real,201.799467711003
1,814,Huelva,21041,Huelva,15, ,8,9,1.42673012691829,1.42359217496507,0,Power plant Los Barrios,Cádiz,175.814265911317
1,813,Altsasu/Alsasua,31010,Navarra,5,5,10,9,.749434257506473,.747785950901192,0,Power plant Escatrón,Teruel,236.493696467019
1,812,Ondarroa,48073,Vizcaya,4,10,10,8,.749434257506473,.747785950901192,0,Power plant Velilla,Palencia,205.376201253744
1,811,Almácera,46032,Valencia/València,13,9,7,1,.74394357293993,.742307342552874,0,Power plant de Escucha,Teruel,149.616934310324
1,810,Gandesa,43064,Tarragona,12,5,4,7,.676495224311756,.675007339903611,0,Power plant Escatrón,Teruel,67.696694471759
1,809,"Pont de Vilomara i Rocafort, El",8182,Barcelona,12,8,10,0,.796391966262222,.794640380815955,0,Power plant Cercs,Lleida,52.6261254874759
1,807,Villacañas,45185,Toledo,10,8,8,8,.749434257506473,.747785950901192,0,Power plant de Puertollano,Ciudad Real,122.632745927065
1,806,"Eliana, l'",46116,Valencia/València,13,5,8,7,1.09540293171607,1.09299370119357,0,Power plant de Escucha,Teruel,141.218986638519
1,805,Jerez de los Caballeros,6070,Badajoz,11,10,0,5,.74394357293993,.742307342552874,0,Power plant Puente Nuevo,Córdoba,165.104624573491
1,804,Sant Pere de Riudebitlles,8232,Barcelona,12,9,7,7,.749434257506473,.747785950901192,0,Power plant Cercs,Lleida,80.8342506068575
1,803,Mérida,6083,Badajoz,11,5,5,10,1.57368403519907,1.57022287264363,0,Power plant Puente Nuevo,Córdoba,160.652329152133
1,802,Corbera de Llobregat,8072,Barcelona,12,4,4,7,1.4125160179956,1.4094093285706,0,Power plant Cercs,Lleida,83.7496064309525
1,801,Leganés,28074,Madrid,8,8,7,7,1.42673012691829,1.42359217496507,0,Power plant de Puertollano,Ciudad Real,189.15864566057
1,800,Leganés,28074,Madrid,8,3,8,9,1.42673012691829,1.42359217496507,0,Power plant de Puertollano,Ciudad Real,189.15864566057
1,799,Lugo,27028,Lugo,1,10,10,10,1.42673012691829,1.42359217496507,0, Power plant As Pontes,Coruna,54.5464960751
1,798,Badajoz,6015,Badajoz,11,10,10,0,1.78902598215294,1.78509119626096,0,Power plant Puente Nuevo,Córdoba,187.496432888325
1,796,Vitoria-Gasteiz,1059,Alava,4,6,7,5,1.42673012691829,1.42359217496507,0,Power plant Velilla,Palencia,178.123880285561
1,795,València,46250,Valencia/València,13,2,8,10,.844412549663495,.84255534768847,0,Power plant de Escucha,Teruel,159.522029057187
1,793,Villaquilambre,24222,León,9,9,8,9,1.2736570830515,1.27085580013465,0,Power plant La Robla,León,20.3996260655321
1,792,Castropol,33017,Asturias,2,8,8,8,.694790496982406,.693262373929594,0,Power plant Narcea,León,41.1960594537794
1,791,Orio,20061,Guipúzcoa,4,9,5,9,.694790496982406,.693262373929594,0,Power plant Escatrón,Teruel,265.596711707434
1,790,Ourense,32054,Ourense,1,8,5,5,1.99172946252947,1.98734885035951,0,Power plant Meirama,Coruna,100.31849672276
1,789,Girona,17079,Girona,12,0,10,8,1.42673012691829,1.42359217496507,0,Power plant Cercs,Lleida,83.721040849545
1,788,Binéfar,22061,Huesca,7,10,10,10,.74394357293993,.742307342552874,0,Power plant Escatrón,Teruel,79
1,787,Lodosa,31157,Navarra,5,8,5,0,.74394357293993,.742307342552874,0,Power plant de Escucha,Teruel,205.908307647711
1,786,Pedralba,46191,Valencia/València,13,10,10,3,.74394357293993,.742307342552874,0,Power plant de Escucha,Teruel,135.647373768554
1,785,Ablitas,31006,Navarra,5,7,8,10,.749434257506473,.747785950901192,0,Power plant de Escucha,Teruel,143.102962471676
1,784,Cintruénigo,31072,Navarra,5,8,7,8,.676495224311756,.675007339903611,0,Power plant de Escucha,Teruel,161.710856762906
1,782,Arganda del Rey,28014,Madrid,8,5,10,10,1.42673012691829,1.42359217496507,0,Power plant de Puertollano,Ciudad Real,191.557755258606
